code_product,name,expiration_date,price,description
P00320,Simvastatina,2026-11-07,2500,Reduce el colesterol y triglicéridos.
P00321,Amoxicilina,2028-03-06,10000,Antibiótico usado para tratar infecciones bacterianas.
P00322,Simvastatina,2028-05-17,20000,Reduce el colesterol y triglicéridos.
P00323,Omeprazol,2028-05-01,8000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00324,Losartán,2025-08-15,9000,Usado para tratar la presión arterial alta.
P00325,Salbutamol,2026-01-20,10000,Broncodilatador usado para tratar el asma.
P00326,Ibuprofeno,2026-09-01,4000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00327,Salbutamol,2027-01-17,12000,Broncodilatador usado para tratar el asma.
P00328,Amoxicilina,2026-07-26,45000,Antibiótico usado para tratar infecciones bacterianas.
P00329,Salbutamol,2025-11-20,40000,Broncodilatador usado para tratar el asma.
P00330,Losartán,2027-07-01,20000,Usado para tratar la presión arterial alta.
P00331,Omeprazol,2027-02-18,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00332,Acetaminofén,2027-12-01,12000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00333,Amoxicilina,2025-08-07,45000,Antibiótico usado para tratar infecciones bacterianas.
P00334,Salbutamol,2027-05-13,6000,Broncodilatador usado para tratar el asma.
P00335,Ibuprofeno,2027-12-11,2500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00336,Loratadina,2027-08-27,12000,Antihistamínico para tratar alergias.
P00337,Loratadina,2028-01-29,50000,Antihistamínico para tratar alergias.
P00338,Simvastatina,2027-05-24,4000,Reduce el colesterol y triglicéridos.
P00339,Loratadina,2026-08-07,3500,Antihistamínico para tratar alergias.
P00340,Salbutamol,2028-04-20,45000,Broncodilatador usado para tratar el asma.
P00341,Loratadina,2027-04-24,50000,Antihistamínico para tratar alergias.
P00342,Salbutamol,2027-01-11,25000,Broncodilatador usado para tratar el asma.
P00343,Metformina,2026-10-26,18000,Medicamento para la diabetes tipo 2.
P00344,Dolex,2026-05-01,4500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00345,Metformina,2027-01-03,3000,Medicamento para la diabetes tipo 2.
P00346,Acetaminofén,2026-08-16,18000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00347,Acetaminofén,2025-11-02,30000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00348,Losartán,2027-01-22,2500,Usado para tratar la presión arterial alta.
P00349,Losartán,2028-04-25,15000,Usado para tratar la presión arterial alta.
P00350,Metformina,2027-05-19,2500,Medicamento para la diabetes tipo 2.
P00351,Metformina,2027-03-08,30000,Medicamento para la diabetes tipo 2.
P00352,Metformina,2028-02-12,3000,Medicamento para la diabetes tipo 2.
P00353,Omeprazol,2027-12-21,50000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00354,Metformina,2027-05-12,4000,Medicamento para la diabetes tipo 2.
P00355,Omeprazol,2028-05-01,6000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00356,Acetaminofén,2025-12-29,40000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00357,Simvastatina,2026-12-28,3000,Reduce el colesterol y triglicéridos.
P00358,Amoxicilina,2027-02-27,4000,Antibiótico usado para tratar infecciones bacterianas.
P00359,Losartán,2026-04-13,3000,Usado para tratar la presión arterial alta.
P00360,Omeprazol,2028-04-02,9000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00361,Loratadina,2028-03-05,50000,Antihistamínico para tratar alergias.
P00362,Dolex,2027-02-03,2500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00363,Losartán,2025-09-21,5000,Usado para tratar la presión arterial alta.
P00364,Ibuprofeno,2026-07-07,5000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00365,Ibuprofeno,2027-08-22,6000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00366,Simvastatina,2027-09-27,2500,Reduce el colesterol y triglicéridos.
P00367,Amoxicilina,2027-03-06,50000,Antibiótico usado para tratar infecciones bacterianas.
P00368,Loratadina,2025-10-07,4000,Antihistamínico para tratar alergias.
P00369,Omeprazol,2028-01-12,45000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00370,Metformina,2027-02-27,5000,Medicamento para la diabetes tipo 2.
P00371,Simvastatina,2027-06-05,7000,Reduce el colesterol y triglicéridos.
P00372,Losartán,2026-11-19,8000,Usado para tratar la presión arterial alta.
P00373,Dolex,2027-07-26,45000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00374,Ibuprofeno,2026-11-23,5000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00375,Omeprazol,2028-03-29,2500,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00376,Losartán,2025-10-24,45000,Usado para tratar la presión arterial alta.
P00377,Losartán,2027-06-12,3000,Usado para tratar la presión arterial alta.
P00378,Omeprazol,2027-05-23,25000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00379,Losartán,2028-05-24,45000,Usado para tratar la presión arterial alta.
P00380,Omeprazol,2027-12-19,35000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00381,Simvastatina,2025-12-03,25000,Reduce el colesterol y triglicéridos.
P00382,Ibuprofeno,2027-04-21,30000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00383,Amoxicilina,2028-04-27,6000,Antibiótico usado para tratar infecciones bacterianas.
P00384,Amoxicilina,2028-01-08,10000,Antibiótico usado para tratar infecciones bacterianas.
P00385,Acetaminofén,2027-08-13,40000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00386,Losartán,2027-07-13,4000,Usado para tratar la presión arterial alta.
P00387,Salbutamol,2027-07-17,8000,Broncodilatador usado para tratar el asma.
P00388,Salbutamol,2026-12-11,10000,Broncodilatador usado para tratar el asma.
P00389,Amoxicilina,2025-10-09,35000,Antibiótico usado para tratar infecciones bacterianas.
P00390,Ibuprofeno,2026-11-26,20000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00391,Amoxicilina,2026-12-22,5000,Antibiótico usado para tratar infecciones bacterianas.
P00392,Losartán,2025-06-25,12000,Usado para tratar la presión arterial alta.
P00393,Metformina,2026-06-23,30000,Medicamento para la diabetes tipo 2.
P00394,Amoxicilina,2025-11-20,25000,Antibiótico usado para tratar infecciones bacterianas.
P00395,Omeprazol,2027-01-14,4500,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00396,Dolex,2026-04-24,50000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00397,Ibuprofeno,2027-03-25,50000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00398,Acetaminofén,2025-10-15,25000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00399,Salbutamol,2026-03-15,20000,Broncodilatador usado para tratar el asma.
P00400,Dolex,2027-01-07,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00401,Losartán,2027-06-04,35000,Usado para tratar la presión arterial alta.
P00402,Ibuprofeno,2027-08-19,25000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00403,Acetaminofén,2026-05-24,4000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00404,Losartán,2025-08-13,30000,Usado para tratar la presión arterial alta.
P00405,Loratadina,2027-05-24,15000,Antihistamínico para tratar alergias.
P00406,Dolex,2027-08-12,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00407,Omeprazol,2028-01-21,7000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00408,Loratadina,2027-11-23,40000,Antihistamínico para tratar alergias.
P00409,Loratadina,2025-12-29,18000,Antihistamínico para tratar alergias.
P00410,Losartán,2025-12-29,3500,Usado para tratar la presión arterial alta.
P00411,Ibuprofeno,2027-03-24,5000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00412,Omeprazol,2027-10-27,3000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00413,Metformina,2026-10-24,6000,Medicamento para la diabetes tipo 2.
P00414,Metformina,2027-10-15,10000,Medicamento para la diabetes tipo 2.
P00415,Dolex,2028-04-08,35000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00416,Losartán,2026-07-21,12000,Usado para tratar la presión arterial alta.
P00417,Acetaminofén,2027-11-08,30000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00418,Simvastatina,2028-01-15,4500,Reduce el colesterol y triglicéridos.
P00419,Simvastatina,2026-03-06,12000,Reduce el colesterol y triglicéridos.
P00420,Salbutamol,2026-04-21,6000,Broncodilatador usado para tratar el asma.
P00421,Omeprazol,2026-08-27,40000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00422,Losartán,2026-06-27,5000,Usado para tratar la presión arterial alta.
P00423,Metformina,2026-08-14,50000,Medicamento para la diabetes tipo 2.
P00424,Losartán,2027-10-31,4000,Usado para tratar la presión arterial alta.
P00425,Amoxicilina,2027-05-19,30000,Antibiótico usado para tratar infecciones bacterianas.
P00426,Salbutamol,2025-12-17,7000,Broncodilatador usado para tratar el asma.
P00427,Amoxicilina,2027-03-17,4000,Antibiótico usado para tratar infecciones bacterianas.
P00428,Losartán,2027-02-23,15000,Usado para tratar la presión arterial alta.
P00429,Loratadina,2026-06-10,3500,Antihistamínico para tratar alergias.
P00430,Acetaminofén,2028-04-30,8000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00431,Omeprazol,2025-10-13,12000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00432,Omeprazol,2028-01-01,12000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00433,Losartán,2027-01-24,10000,Usado para tratar la presión arterial alta.
P00434,Metformina,2026-06-03,20000,Medicamento para la diabetes tipo 2.
P00435,Losartán,2028-01-11,7000,Usado para tratar la presión arterial alta.
P00436,Amoxicilina,2026-05-23,9000,Antibiótico usado para tratar infecciones bacterianas.
P00437,Salbutamol,2026-08-31,35000,Broncodilatador usado para tratar el asma.
P00438,Losartán,2027-03-23,30000,Usado para tratar la presión arterial alta.
P00439,Amoxicilina,2027-02-28,6000,Antibiótico usado para tratar infecciones bacterianas.
P00440,Simvastatina,2026-09-06,2500,Reduce el colesterol y triglicéridos.
P00441,Simvastatina,2027-03-20,12000,Reduce el colesterol y triglicéridos.
P00442,Metformina,2026-01-19,2500,Medicamento para la diabetes tipo 2.
P00443,Simvastatina,2026-07-24,8000,Reduce el colesterol y triglicéridos.
P00444,Acetaminofén,2026-11-16,4500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00445,Dolex,2027-01-25,10000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00446,Acetaminofén,2027-09-10,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00447,Amoxicilina,2026-07-24,40000,Antibiótico usado para tratar infecciones bacterianas.
P00448,Ibuprofeno,2028-04-05,40000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00449,Acetaminofén,2027-08-12,10000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00450,Simvastatina,2027-01-09,2500,Reduce el colesterol y triglicéridos.
P00451,Metformina,2028-04-11,50000,Medicamento para la diabetes tipo 2.
P00452,Salbutamol,2027-04-21,3500,Broncodilatador usado para tratar el asma.
P00453,Ibuprofeno,2026-10-07,7000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00454,Amoxicilina,2027-04-14,50000,Antibiótico usado para tratar infecciones bacterianas.
P00455,Salbutamol,2027-03-23,45000,Broncodilatador usado para tratar el asma.
P00456,Dolex,2027-12-28,12000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00457,Omeprazol,2026-02-27,30000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00458,Salbutamol,2027-12-04,35000,Broncodilatador usado para tratar el asma.
P00459,Acetaminofén,2026-05-14,4500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00460,Metformina,2026-05-18,18000,Medicamento para la diabetes tipo 2.
P00461,Omeprazol,2027-05-15,10000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00462,Ibuprofeno,2027-09-06,20000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00463,Losartán,2026-03-27,30000,Usado para tratar la presión arterial alta.
P00464,Losartán,2025-08-21,12000,Usado para tratar la presión arterial alta.
P00465,Omeprazol,2027-02-12,4000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00466,Dolex,2027-11-06,9000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00467,Amoxicilina,2028-05-18,50000,Antibiótico usado para tratar infecciones bacterianas.
P00468,Acetaminofén,2027-07-16,3000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00469,Salbutamol,2028-05-08,50000,Broncodilatador usado para tratar el asma.
P00470,Metformina,2026-11-23,35000,Medicamento para la diabetes tipo 2.
P00471,Metformina,2026-03-19,10000,Medicamento para la diabetes tipo 2.
P00472,Ibuprofeno,2028-03-27,18000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00473,Amoxicilina,2025-08-23,20000,Antibiótico usado para tratar infecciones bacterianas.
P00474,Losartán,2025-07-24,25000,Usado para tratar la presión arterial alta.
P00475,Omeprazol,2025-07-10,4000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00476,Ibuprofeno,2027-08-29,15000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00477,Dolex,2027-05-26,4000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00478,Dolex,2028-03-18,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00479,Loratadina,2026-09-02,12000,Antihistamínico para tratar alergias.
P00480,Amoxicilina,2027-01-29,2500,Antibiótico usado para tratar infecciones bacterianas.
P00481,Metformina,2026-04-07,4000,Medicamento para la diabetes tipo 2.
P00482,Ibuprofeno,2028-01-04,25000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00483,Loratadina,2026-09-29,10000,Antihistamínico para tratar alergias.
P00484,Ibuprofeno,2026-08-02,10000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00485,Dolex,2028-02-03,3000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00486,Losartán,2026-05-19,9000,Usado para tratar la presión arterial alta.
P00487,Omeprazol,2028-02-07,15000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00488,Amoxicilina,2028-03-11,9000,Antibiótico usado para tratar infecciones bacterianas.
P00489,Metformina,2027-01-05,50000,Medicamento para la diabetes tipo 2.
P00490,Losartán,2027-09-30,4500,Usado para tratar la presión arterial alta.
P00491,Dolex,2026-01-15,4500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00492,Simvastatina,2025-09-15,4500,Reduce el colesterol y triglicéridos.
P00493,Ibuprofeno,2027-10-03,20000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00494,Acetaminofén,2028-01-26,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00495,Ibuprofeno,2026-02-17,10000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00496,Simvastatina,2028-01-07,3000,Reduce el colesterol y triglicéridos.
P00497,Amoxicilina,2025-12-11,20000,Antibiótico usado para tratar infecciones bacterianas.
P00498,Salbutamol,2028-01-30,5000,Broncodilatador usado para tratar el asma.
P00499,Loratadina,2027-11-05,2500,Antihistamínico para tratar alergias.
P00500,Simvastatina,2027-01-05,3500,Reduce el colesterol y triglicéridos.
P00501,Loratadina,2027-03-29,45000,Antihistamínico para tratar alergias.
P00502,Salbutamol,2026-08-19,18000,Broncodilatador usado para tratar el asma.
P00503,Omeprazol,2026-07-16,3000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00504,Acetaminofén,2026-10-02,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00505,Amoxicilina,2027-09-08,8000,Antibiótico usado para tratar infecciones bacterianas.
P00506,Dolex,2026-07-17,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00507,Acetaminofén,2026-02-04,8000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00508,Loratadina,2027-12-22,50000,Antihistamínico para tratar alergias.
P00509,Ibuprofeno,2026-03-15,30000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00510,Losartán,2026-10-20,3500,Usado para tratar la presión arterial alta.
P00511,Losartán,2025-11-21,3000,Usado para tratar la presión arterial alta.
P00512,Ibuprofeno,2025-09-26,4500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00513,Simvastatina,2028-04-06,8000,Reduce el colesterol y triglicéridos.
P00514,Dolex,2025-08-17,5000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00515,Simvastatina,2025-08-27,40000,Reduce el colesterol y triglicéridos.
P00516,Salbutamol,2028-03-16,45000,Broncodilatador usado para tratar el asma.
P00517,Amoxicilina,2027-12-20,20000,Antibiótico usado para tratar infecciones bacterianas.
P00518,Acetaminofén,2025-08-30,35000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00519,Metformina,2027-12-14,20000,Medicamento para la diabetes tipo 2.
P00520,Losartán,2025-08-28,3500,Usado para tratar la presión arterial alta.
P00521,Salbutamol,2026-10-29,35000,Broncodilatador usado para tratar el asma.
P00522,Acetaminofén,2027-02-14,50000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00523,Omeprazol,2027-03-24,12000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00524,Amoxicilina,2026-02-24,3000,Antibiótico usado para tratar infecciones bacterianas.
P00525,Acetaminofén,2027-11-19,25000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00526,Metformina,2026-03-15,10000,Medicamento para la diabetes tipo 2.
P00527,Simvastatina,2025-10-28,4500,Reduce el colesterol y triglicéridos.
P00528,Ibuprofeno,2027-08-13,8000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00529,Simvastatina,2027-09-09,2500,Reduce el colesterol y triglicéridos.
P00530,Simvastatina,2027-02-20,8000,Reduce el colesterol y triglicéridos.
P00531,Losartán,2028-04-14,18000,Usado para tratar la presión arterial alta.
P00532,Losartán,2025-10-02,4500,Usado para tratar la presión arterial alta.
P00533,Omeprazol,2026-07-01,18000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00534,Simvastatina,2026-02-13,7000,Reduce el colesterol y triglicéridos.
P00535,Salbutamol,2026-05-09,30000,Broncodilatador usado para tratar el asma.
P00536,Ibuprofeno,2027-08-09,12000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00537,Salbutamol,2025-08-29,9000,Broncodilatador usado para tratar el asma.
P00538,Dolex,2026-04-20,5000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00539,Dolex,2027-03-09,18000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00540,Amoxicilina,2025-09-14,5000,Antibiótico usado para tratar infecciones bacterianas.
P00541,Losartán,2026-07-11,40000,Usado para tratar la presión arterial alta.
P00542,Omeprazol,2025-11-22,3000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00543,Acetaminofén,2025-10-19,25000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00544,Acetaminofén,2026-12-06,20000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00545,Ibuprofeno,2025-07-05,20000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00546,Metformina,2026-04-04,35000,Medicamento para la diabetes tipo 2.
P00547,Dolex,2026-11-29,8000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00548,Acetaminofén,2027-05-09,10000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00549,Salbutamol,2027-04-27,10000,Broncodilatador usado para tratar el asma.
P00550,Omeprazol,2027-08-05,20000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00551,Salbutamol,2025-10-08,40000,Broncodilatador usado para tratar el asma.
P00552,Ibuprofeno,2028-03-11,30000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00553,Salbutamol,2027-11-18,9000,Broncodilatador usado para tratar el asma.
P00554,Simvastatina,2026-07-03,45000,Reduce el colesterol y triglicéridos.
P00555,Ibuprofeno,2027-06-18,15000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00556,Metformina,2026-04-16,7000,Medicamento para la diabetes tipo 2.
P00557,Omeprazol,2025-11-09,30000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00558,Metformina,2027-04-11,40000,Medicamento para la diabetes tipo 2.
P00559,Losartán,2027-03-01,25000,Usado para tratar la presión arterial alta.
P00560,Simvastatina,2026-05-23,4500,Reduce el colesterol y triglicéridos.
P00561,Ibuprofeno,2026-05-25,4500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00562,Dolex,2028-03-04,45000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00563,Simvastatina,2028-04-29,8000,Reduce el colesterol y triglicéridos.
P00564,Dolex,2026-10-25,2500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00565,Omeprazol,2027-08-10,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00566,Salbutamol,2026-11-30,40000,Broncodilatador usado para tratar el asma.
P00567,Omeprazol,2025-07-22,15000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00568,Omeprazol,2027-03-22,25000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00569,Loratadina,2027-03-23,40000,Antihistamínico para tratar alergias.
P00570,Acetaminofén,2026-01-10,35000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00571,Ibuprofeno,2026-02-27,9000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00572,Dolex,2025-12-03,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00573,Loratadina,2027-06-14,12000,Antihistamínico para tratar alergias.
P00574,Metformina,2026-09-14,4000,Medicamento para la diabetes tipo 2.
P00575,Losartán,2026-02-16,18000,Usado para tratar la presión arterial alta.
P00576,Dolex,2026-10-12,6000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00577,Amoxicilina,2028-04-12,45000,Antibiótico usado para tratar infecciones bacterianas.
P00578,Salbutamol,2026-02-11,18000,Broncodilatador usado para tratar el asma.
P00579,Acetaminofén,2025-08-11,8000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00580,Salbutamol,2027-02-05,20000,Broncodilatador usado para tratar el asma.
P00581,Loratadina,2026-12-11,30000,Antihistamínico para tratar alergias.
P00582,Loratadina,2028-03-04,3500,Antihistamínico para tratar alergias.
P00583,Salbutamol,2026-12-25,20000,Broncodilatador usado para tratar el asma.
P00584,Salbutamol,2026-02-25,2500,Broncodilatador usado para tratar el asma.
P00585,Acetaminofén,2027-11-02,50000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00586,Metformina,2027-05-11,18000,Medicamento para la diabetes tipo 2.
P00587,Acetaminofén,2026-10-13,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00588,Loratadina,2028-02-07,10000,Antihistamínico para tratar alergias.
P00589,Amoxicilina,2026-04-10,35000,Antibiótico usado para tratar infecciones bacterianas.
P00590,Metformina,2027-07-10,5000,Medicamento para la diabetes tipo 2.
P00591,Losartán,2028-03-20,12000,Usado para tratar la presión arterial alta.
P00592,Loratadina,2025-12-01,7000,Antihistamínico para tratar alergias.
P00593,Losartán,2027-05-28,18000,Usado para tratar la presión arterial alta.
P00594,Dolex,2026-04-23,15000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00595,Losartán,2027-01-06,9000,Usado para tratar la presión arterial alta.
P00596,Acetaminofén,2027-10-12,20000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00597,Dolex,2028-02-28,15000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00598,Ibuprofeno,2026-12-20,4500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00599,Losartán,2027-07-13,12000,Usado para tratar la presión arterial alta.
P00600,Acetaminofén,2028-04-07,10000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00601,Losartán,2026-10-04,25000,Usado para tratar la presión arterial alta.
P00602,Simvastatina,2025-09-06,15000,Reduce el colesterol y triglicéridos.
P00603,Omeprazol,2027-03-19,9000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00604,Loratadina,2025-11-25,3000,Antihistamínico para tratar alergias.
P00605,Salbutamol,2027-02-05,3500,Broncodilatador usado para tratar el asma.
P00606,Salbutamol,2028-04-18,3500,Broncodilatador usado para tratar el asma.
P00607,Amoxicilina,2027-03-10,10000,Antibiótico usado para tratar infecciones bacterianas.
P00608,Acetaminofén,2027-04-11,40000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00609,Losartán,2026-10-15,20000,Usado para tratar la presión arterial alta.
P00610,Acetaminofén,2027-12-25,18000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00611,Simvastatina,2025-12-08,10000,Reduce el colesterol y triglicéridos.
P00612,Omeprazol,2027-03-09,3000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00613,Metformina,2027-04-09,4000,Medicamento para la diabetes tipo 2.
P00614,Ibuprofeno,2026-08-16,40000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00615,Omeprazol,2028-04-29,4000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00616,Dolex,2027-01-10,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00617,Dolex,2027-02-06,35000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00618,Dolex,2027-10-23,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00619,Metformina,2027-10-03,15000,Medicamento para la diabetes tipo 2.
P00620,Loratadina,2027-04-30,45000,Antihistamínico para tratar alergias.
P00621,Loratadina,2026-01-25,5000,Antihistamínico para tratar alergias.
P00622,Loratadina,2028-02-09,6000,Antihistamínico para tratar alergias.
P00623,Dolex,2028-05-09,12000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00624,Losartán,2027-09-23,40000,Usado para tratar la presión arterial alta.
P00625,Ibuprofeno,2025-07-18,5000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00626,Salbutamol,2026-08-21,18000,Broncodilatador usado para tratar el asma.
P00627,Salbutamol,2025-12-12,9000,Broncodilatador usado para tratar el asma.
P00628,Amoxicilina,2027-09-23,6000,Antibiótico usado para tratar infecciones bacterianas.
P00629,Losartán,2026-11-11,2500,Usado para tratar la presión arterial alta.
P00630,Dolex,2025-12-05,10000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00631,Losartán,2026-10-17,5000,Usado para tratar la presión arterial alta.
P00632,Dolex,2027-08-19,3000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00633,Dolex,2026-07-12,9000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00634,Losartán,2025-11-15,18000,Usado para tratar la presión arterial alta.
P00635,Metformina,2027-05-17,35000,Medicamento para la diabetes tipo 2.
P00636,Salbutamol,2026-01-05,4000,Broncodilatador usado para tratar el asma.
P00637,Salbutamol,2026-09-24,15000,Broncodilatador usado para tratar el asma.
P00638,Simvastatina,2027-05-05,35000,Reduce el colesterol y triglicéridos.
